neighborhood_municipality,individuals_tested,cases,deaths,hospitalizations,tests,postives,ag_tests,positive_ag_tests,pcr_tests,positive_pcr_tests,update_date
Aleppo,929,161,11,14,3909,202,2172,71,1739,131,2021-11-15
Allegheny Center (Pittsburgh),790,136,6,7,1767,163,247,20,1521,143,2021-11-15
Allegheny West (Pittsburgh),304,40,0,2,803,45,144,8,659,37,2021-11-15
Allentown (Pittsburgh),1151,247,1,26,3451,289,806,44,2643,245,2021-11-15
Arlington (Pittsburgh),873,206,5,16,3014,242,694,65,2316,177,2021-11-15
Arlington Heights (Pittsburgh),115,16,2,1,382,17,37,6,345,11,2021-11-15
Aspinwall,1670,237,1,9,4795,259,1158,92,3633,167,2021-11-15
Avalon,2456,488,10,40,7876,552,1648,125,6224,425,2021-11-15
Baldwin Borough,11717,3086,60,229,36442,3623,9050,978,27408,2632,2021-11-15
Baldwin Township,1075,254,1,11,2854,288,758,103,2097,183,2021-11-15
Banksville (Pittsburgh),2309,447,17,27,7221,515,2504,178,4721,335,2021-11-15
Bedford Dwellings (Pittsburgh),643,132,4,22,1729,149,297,11,1434,138,2021-11-15
Beechview (Pittsburgh),3989,867,10,57,10763,1007,2302,279,8459,724,2021-11-15
Bell Acres,776,131,2,5,1719,146,444,36,1274,109,2021-11-15
Bellevue,4160,804,7,33,11466,901,2586,208,8864,691,2021-11-15
Beltzhoover (Pittsburgh),798,173,2,36,2144,197,289,23,1856,174,2021-11-15
Ben Avon,1068,184,2,7,2537,199,596,50,1928,147,2021-11-15
Ben Avon Heights,260,36,0,0,668,38,173,6,493,32,2021-11-15
Bethel Park,17928,3698,74,214,52009,4170,12728,1398,39234,2743,2021-11-15
Blawnox,698,111,1,6,2091,121,445,39,1640,80,2021-11-15
Bloomfield (Pittsburgh),5369,708,7,40,16796,812,2431,182,14367,630,2021-11-15
Bluff (Pittsburgh),9318,1303,2,31,29791,1503,20668,477,9124,1024,2021-11-15
Bon Air (Pittsburgh),391,78,1,7,1037,83,223,22,816,61,2021-11-15
Brackenridge,2128,499,21,54,7565,557,1269,107,6300,450,2021-11-15
Braddock,1180,264,1,28,3692,308,782,36,2913,272,2021-11-15
Braddock Hills,854,157,1,12,2614,191,498,37,2119,154,2021-11-15
Bradford Woods,687,129,0,1,1529,136,332,36,1185,100,2021-11-15
Brentwood,5359,1203,17,59,15339,1380,3950,397,11389,979,2021-11-15
Bridgeville,2732,616,13,46,7380,738,2100,266,5260,463,2021-11-15
Brighton Heights (Pittsburgh),4200,803,8,55,12142,911,2350,163,9791,748,2021-11-15
Brookline (Pittsburgh),6987,1392,17,86,19558,1624,4995,514,14548,1104,2021-11-15
California-Kirkbride (Pittsburgh),376,72,3,4,1170,81,200,8,970,73,2021-11-15
Carnegie,4268,833,6,46,11709,975,3129,325,8582,647,2021-11-15
Carrick (Pittsburgh),5042,1083,18,80,13894,1222,3107,337,10793,883,2021-11-15
Castle Shannon,4312,910,10,42,12015,1051,3093,330,8926,718,2021-11-15
Central Business District (Pittsburgh),4341,483,0,14,13322,593,2380,135,10939,452,2021-11-15
Central Lawrenceville (Pittsburgh),2956,412,18,33,10013,473,1535,102,8471,369,2021-11-15
Central Northside (Pittsburgh),1880,293,4,25,5784,348,916,57,4867,289,2021-11-15
Central Oakland (Pittsburgh),2940,578,1,5,11534,660,1393,114,10146,543,2021-11-15
Chalfant,439,76,1,6,1171,84,295,23,878,61,2021-11-15
Chartiers City (Pittsburgh),247,47,0,5,634,50,138,9,495,41,2021-11-15
Chateau (Pittsburgh),47,10,0,0,136,10,14,3,122,7,2021-11-15
Cheswick,860,195,2,16,2757,215,934,48,1824,167,2021-11-15
Churchill,1788,304,4,21,4564,348,973,96,3589,250,2021-11-15
Clairton,3465,757,9,66,10652,868,2288,142,8373,726,2021-11-15
Collier,4929,1002,6,36,13083,1143,3754,407,9295,724,2021-11-15
Coraopolis,2749,597,9,36,7691,701,2434,208,5256,490,2021-11-15
Crafton,3068,674,11,32,9175,769,2292,241,6880,526,2021-11-15
Crafton Heights (Pittsburgh),2044,445,4,23,5295,498,1111,106,4181,392,2021-11-15
Crawford-Roberts (Pittsburgh),1485,277,8,49,4041,307,741,38,3300,269,2021-11-15
Crescent,1202,313,9,17,3021,340,813,126,2215,213,2021-11-15
Dormont,4548,783,4,39,12063,888,3255,264,8807,622,2021-11-15
Dravosburg,842,204,3,15,2997,237,635,68,2365,169,2021-11-15
Duquesne,2695,644,15,70,8371,757,1530,101,6846,656,2021-11-15
Duquesne Heights (Pittsburgh),1430,316,3,12,4310,374,1138,120,3168,251,2021-11-15
East Allegheny (Pittsburgh),1159,173,4,22,3071,212,477,37,2595,175,2021-11-15
East Carnegie (Pittsburgh),282,80,2,9,838,88,187,17,648,71,2021-11-15
East Deer,750,175,0,8,2544,197,687,43,1855,154,2021-11-15
East Hills (Pittsburgh),1431,302,6,41,3705,343,573,46,3138,297,2021-11-15
East Liberty (Pittsburgh),3879,612,28,74,11524,707,1562,99,9955,606,2021-11-15
East Mckeesport,1039,234,3,17,2705,263,583,61,2121,201,2021-11-15
East Pittsburgh,992,214,5,29,2808,237,464,30,2347,207,2021-11-15
Edgewood,2007,197,0,6,6016,243,970,56,5043,184,2021-11-15
Edgeworth,1072,92,1,1,2670,112,738,30,1925,80,2021-11-15
Elizabeth Borough,768,182,1,8,2199,205,524,51,1674,154,2021-11-15
Elizabeth Township,6862,1757,22,123,18572,1956,4801,542,13760,1411,2021-11-15
Elliott (Pittsburgh),1173,245,3,18,3384,279,902,69,2481,210,2021-11-15
Emsworth,1899,336,0,11,4445,367,985,56,3452,308,2021-11-15
Esplen (Pittsburgh),115,25,0,3,475,30,80,3,395,27,2021-11-15
Etna,1839,372,3,16,4818,410,1247,108,3566,301,2021-11-15
Fairywood (Pittsburgh),1160,197,1,10,5444,231,479,31,4964,199,2021-11-15
Fawn,1030,267,1,20,2733,285,659,73,2075,212,2021-11-15
Findlay,2844,633,5,33,6685,726,2001,261,4675,460,2021-11-15
Fineview (Pittsburgh),551,98,2,10,1494,115,262,17,1228,98,2021-11-15
Forest Hills,3503,603,7,30,9650,685,1901,174,7754,510,2021-11-15
Forward,1440,376,8,28,3919,425,1055,124,2862,301,2021-11-15
Fox Chapel,3701,423,2,18,9105,479,2121,139,6963,338,2021-11-15
Franklin Park,8718,1442,18,40,21454,1562,5366,408,16031,1147,2021-11-15
Frazer,580,155,1,11,1574,170,416,48,1157,121,2021-11-15
Friendship (Pittsburgh),1404,141,0,2,4193,152,467,29,3722,121,2021-11-15
Garfield (Pittsburgh),2014,376,11,41,6927,413,1190,74,5737,339,2021-11-15
Glassport,2255,539,10,49,6852,625,1707,139,5144,483,2021-11-15
Glen Hazel (Pittsburgh),808,143,23,37,8667,226,4555,10,4115,215,2021-11-15
Glen Osborne,319,38,0,1,979,41,230,11,750,30,2021-11-15
Glenfield,110,35,0,2,256,40,72,10,184,30,2021-11-15
Green Tree,2951,600,5,36,7706,689,2296,253,5398,430,2021-11-15
Greenfield (Pittsburgh),4261,556,5,42,12558,650,1877,97,10679,553,2021-11-15
Hampton,10095,1951,21,69,25632,2146,7444,696,18087,1427,2021-11-15
Harmar,1874,407,27,46,8389,493,2820,112,5557,378,2021-11-15
Harrison,5006,1279,11,85,13629,1421,3512,336,10123,1084,2021-11-15
Hays (Pittsburgh),167,41,1,2,383,43,68,4,314,39,2021-11-15
Haysville,34,5,0,0,185,5,20,1,165,4,2021-11-15
Hazelwood (Pittsburgh),2108,388,5,39,6063,445,1163,62,4900,383,2021-11-15
Heidelberg,675,143,2,9,1681,155,460,55,1226,100,2021-11-15
Highland Park (Pittsburgh),4350,454,8,28,19865,537,2736,109,17132,428,2021-11-15
Homestead,1578,338,5,44,5242,380,1089,36,4151,343,2021-11-15
Homewood North (Pittsburgh),1284,273,4,47,4066,299,808,34,3255,265,2021-11-15
Homewood South (Pittsburgh),1205,246,5,54,3970,279,803,30,3168,249,2021-11-15
Homewood West (Pittsburgh),320,69,0,6,1167,77,202,14,965,63,2021-11-15
Indiana,4005,802,16,45,12828,900,3948,259,8871,636,2021-11-15
Ingram,1676,345,3,16,4454,397,1053,85,3409,312,2021-11-15
Jefferson Hills,7152,1643,33,101,23547,1939,5220,599,18310,1327,2021-11-15
Kennedy,5100,1096,31,62,18671,1246,6281,399,12430,841,2021-11-15
Kilbuck,409,76,0,2,920,82,257,26,656,56,2021-11-15
Knoxville (Pittsburgh),1695,356,2,26,4675,402,935,64,3745,338,2021-11-15
Larimer (Pittsburgh),1320,251,9,34,4429,283,516,22,3914,261,2021-11-15
Leet,828,157,1,7,1922,173,577,54,1337,117,2021-11-15
Leetsdale,539,98,0,2,1704,102,383,27,1323,74,2021-11-15
Liberty,1270,349,2,17,3496,403,872,90,2620,313,2021-11-15
Lincoln,442,131,2,16,1119,154,267,39,854,115,2021-11-15
Lincoln Place (Pittsburgh),1583,346,6,28,4425,384,1062,99,3357,282,2021-11-15
Lincoln-Lemington-Belmar (Pittsburgh),2138,418,8,49,7305,479,1351,74,5959,405,2021-11-15
Lower Lawrenceville (Pittsburgh),1577,239,2,20,4706,268,823,68,3879,198,2021-11-15
Manchester (Pittsburgh),1191,254,5,32,3341,289,645,36,2693,253,2021-11-15
Marshall,5149,833,5,23,13230,910,2976,238,10225,667,2021-11-15
Marshall-Shadeland (Pittsburgh),1991,374,3,29,5739,438,1171,72,4553,364,2021-11-15
McCandless,16550,2801,104,150,48819,3161,14558,912,34101,2226,2021-11-15
Mcdonald,154,35,0,2,427,37,138,8,289,29,2021-11-15
Mckees rocks,3001,656,16,58,8816,729,1769,131,7052,597,2021-11-15
McKeesport,10858,2476,70,304,43508,2938,12737,419,30779,2517,2021-11-15
Middle Hill (Pittsburgh),775,153,4,25,1983,174,307,28,1677,146,2021-11-15
Millvale,1810,342,3,11,5397,393,1248,106,4146,285,2021-11-15
Monroeville,16828,3568,100,302,55258,4138,14163,1067,41100,3065,2021-11-15
Moon,15257,3194,42,131,48330,3680,18370,1272,29945,2391,2021-11-15
Morningside (Pittsburgh),1822,277,5,29,5249,330,995,73,4248,255,2021-11-15
Mount Lebanon,20991,3020,70,145,65870,3544,14450,1228,51328,2277,2021-11-15
Mount Oliver Borough,1602,357,2,24,4898,403,1086,67,3811,335,2021-11-15
Mount Washington (Pittsburgh),4906,1015,6,41,14182,1179,3299,326,10863,849,2021-11-15
Mt. Oliver (Pittsburgh),207,48,0,4,514,52,127,10,389,42,2021-11-15
Munhall,5716,1271,16,107,16732,1420,3267,284,13468,1134,2021-11-15
Neville,520,84,1,7,1461,100,466,28,994,72,2021-11-15
New Homestead (Pittsburgh),487,118,1,6,1246,123,264,26,979,97,2021-11-15
North Braddock,2117,473,5,43,6385,542,1458,92,4931,450,2021-11-15
North Fayette,7759,1631,20,66,20307,1814,6068,652,14228,1160,2021-11-15
North Oakland (Pittsburgh),5568,497,4,27,17524,557,1414,69,16118,487,2021-11-15
North Shore (Pittsburgh),550,51,0,3,1899,58,212,9,1683,48,2021-11-15
North Versailles,5148,1168,11,122,15012,1339,3463,356,11544,979,2021-11-15
Northview Heights (Pittsburgh),706,122,5,18,2044,137,322,16,1723,121,2021-11-15
O'Hara,5185,732,5,54,13630,842,3013,208,10607,630,2021-11-15
Oakdale,783,172,5,14,2124,190,612,69,1513,121,2021-11-15
Oakmont,5812,816,23,56,31857,924,9002,190,22855,734,2021-11-15
Oakwood (Pittsburgh),499,106,1,4,1155,126,247,34,905,92,2021-11-15
Ohio,4263,741,4,29,13434,848,2887,225,10492,617,2021-11-15
Overbrook (Pittsburgh),1907,435,8,27,5601,506,1304,146,4290,358,2021-11-15
Penn Hills,21352,4588,79,423,66913,5143,15076,1246,51855,3884,2021-11-15
Pennsbury Village,386,85,0,1,1136,105,322,38,813,66,2021-11-15
Perry North (Pittsburgh),2168,432,5,24,6118,479,1476,103,4640,376,2021-11-15
Perry South (Pittsburgh),2506,454,5,43,8448,523,2124,84,6325,438,2021-11-15
Pine,8281,1488,8,41,21668,1644,5537,435,16075,1198,2021-11-15
Pitcairn,1525,362,7,25,4960,401,1347,111,3618,290,2021-11-15
Pleasant Hills,4897,1120,27,67,15806,1301,3872,396,11961,900,2021-11-15
Plum,14031,3196,56,177,39489,3564,10770,1070,28699,2487,2021-11-15
Point Breeze (Pittsburgh),3709,316,2,10,10406,359,1482,54,8921,303,2021-11-15
Point Breeze North (Pittsburgh),1278,157,2,12,3998,185,641,30,3358,155,2021-11-15
Polish Hill (Pittsburgh),724,101,0,2,2325,118,389,32,1935,86,2021-11-15
Port Vue,2014,510,10,38,5845,593,1545,121,4306,472,2021-11-15
Rankin,766,158,1,23,2121,181,342,20,1785,161,2021-11-15
Regent Square (Pittsburgh),632,57,2,2,1799,63,365,17,1433,46,2021-11-15
Reserve,1610,347,2,22,4360,397,992,87,3359,308,2021-11-15
Richland,6615,1295,38,60,18977,1512,6716,407,12248,1096,2021-11-15
Ridgemont (Pittsburgh),232,43,0,0,609,54,166,22,441,31,2021-11-15
Robinson,9083,1815,17,94,26408,2056,6478,713,19930,1334,2021-11-15
Ross,18344,3546,110,253,68609,4012,17531,1066,50941,2924,2021-11-15
Rosslyn Farms,242,25,0,1,567,30,168,10,400,20,2021-11-15
Scott,11980,2030,72,119,65297,2433,22537,801,42758,1613,2021-11-15
Sewickley,2097,354,2,3,5715,395,1443,115,4263,280,2021-11-15
Sewickley Heights,559,71,1,4,1571,89,364,18,1203,71,2021-11-15
Sewickley Hills,371,62,0,1,883,72,240,30,636,42,2021-11-15
Shadyside (Pittsburgh),11184,987,19,71,43199,1190,5536,247,37652,937,2021-11-15
Shaler,14425,2980,39,178,37483,3294,10176,894,27257,2386,2021-11-15
Sharpsburg,1614,260,4,27,4558,297,1066,78,3486,215,2021-11-15
Sheraden (Pittsburgh),2628,571,8,40,7057,664,1449,127,5610,535,2021-11-15
South Fayette,9050,1936,51,88,27995,2245,9354,939,18604,1284,2021-11-15
South Oakland (Pittsburgh),2059,288,4,15,6235,336,902,50,5334,283,2021-11-15
South Park,7077,1582,8,76,18765,1822,5190,651,13538,1161,2021-11-15
South Shore (Pittsburgh),190,22,0,0,429,25,48,3,381,22,2021-11-15
South Versailles,156,37,1,4,455,43,117,13,339,30,2021-11-15
Southside Flats (Pittsburgh),5303,1017,9,37,42211,1209,3020,269,39188,932,2021-11-15
Southside Slopes (Pittsburgh),2244,444,2,14,6467,503,1297,115,5168,385,2021-11-15
Spring Garden (Pittsburgh),368,74,1,4,1054,83,261,22,792,61,2021-11-15
Spring Hill-City View (Pittsburgh),1557,325,11,40,7627,377,1194,73,6432,304,2021-11-15
Springdale Borough,1687,383,5,27,4671,428,1166,107,3506,321,2021-11-15
Springdale Township,781,168,1,13,2013,200,459,45,1557,155,2021-11-15
Squirrel Hill North (Pittsburgh),11184,612,7,19,57146,696,6123,139,51028,552,2021-11-15
Squirrel Hill South (Pittsburgh),12265,1129,39,80,44181,1323,4494,199,39699,1115,2021-11-15
St. Clair (Pittsburgh),87,21,1,2,302,23,37,7,265,16,2021-11-15
